Tên sản phẩm,Loại sản phẩm,Mã SKU,Đơn vị,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Nam châm tủ lạnh,Thủ công mỹ nghệ,KG03,Chiếc,611,0,10.000,0
Cao sao vàng 3g (HP),Cao,8934900020016,Lọ,380,0,5.000,0
Thuốc lá bao Lotus Trầm (20 điếu vỏ vàng),"Xì Gà, Thuốc Lá",8936031838812,Bao,302,0,60.000,0
Bưu ảnh( Post ảnh),Thủ công mỹ nghệ,KG/ANH,Chiếc,237,0,10.000,0
Đũa gỗ khảm trai,Đũa,SM/DUA,Đôi,220,0,8.000,0
Thuốc lá Trump Silver demi BCNĐ,"Xì Gà, Thuốc Lá",8936031837396,Bao,172,0,40.000,0
Xì gà Domica slim (30 điếu/hộp),"Xì Gà, Thuốc Lá",8936030311156,Hộp,160,0,150.000,0
Nam châm tăm,Thủ công mỹ nghệ,KG02,Chiếc,148,0,10.000,0
Thìa men kem,Hàng Gốm Sứ,THDTH001,Cái,147,0,30.000,0
Xì gà Lotus Slim (Hộp giấy 30 điếu),"Xì Gà, Thuốc Lá",8936031838690,Bao,145,0,100.000,0
Đũa dừa khẩu,Đũa,DUA/D/K,Đôi,140,0,6.000,0
Đũa thốt nốt,Đũa,DUA/TN,Đôi,140,0,6.000,0
Bookmark ảnh,Thủ công mỹ nghệ,KG01/A,Chiếc,118,0,10.000,0
đĩa muối vuông vẽ CL,Hàng Gốm Sứ,T/DMV/CL,Cái,111,0,40.000,0
Đũa gỗ đầu ngọc,Đũa,DUA/G/DN,Đôi,110,0,8.000,0
GỐM TREO DECO MINI,Hàng Gốm Sứ,T/GTDC/MN,Cái,95,0,30.000,0
Gác đũa HB,Hàng Gốm Sứ,HB/GD,Cái,94,0,30.000,0
Thìa vẽ các loại L1,Hàng Gốm Sứ,ATVE01,Cái,92,0,30.000,0
Thìa cf các loại,Hàng Gốm Sứ,ATCF01,Cái,90,0,20.000,0
Đĩa muối men kem cl,Hàng Gốm Sứ,T/DM/MK,Cái,86,0,30.000,0
Bookmark tre,Thủ công mỹ nghệ,KG01,Chiếc,83,0,10.000,0
Thìa cà phê vẽ CL N,Hàng Gốm Sứ,ATCF01N,Cái,77,0,20.000,0
Thuốc lá bao Lotus Xì Gà Supper Slim BCNĐ 20 điếu/bao,"Xì Gà, Thuốc Lá",8936031835736,Gói,76,0,50.000,0
Gác đũa các loại,Hàng Gốm Sứ,gdcl,Cái,70,0,30.000,0
Cốc sen HB,Hàng Gốm Sứ,HB/C/SEN,Cái,67,0,80.000,0
Gác đũa vẽ CL N,Hàng Gốm Sứ,AGD/01N,Cái,63,0,30.000,0
Bookmark to,Thủ công mỹ nghệ,KG01/L,Chiếc,62,0,15.000,0
Mũ lưỡi trai cờ đỏ sao vàng,"Nón, Nón treo",MLTCDSV,Cái,60,0,40.000,0
Cốc trụ chấm,Hàng Gốm Sứ,HB/C/T/VC,Cái,60,0,80.000,0
Bát gáo dừa gắn trai,Hàng Sơn Mài,SM/BGDT,Cái,56,0,60.000,0
THÌA CF CL,Hàng Gốm Sứ,THCF/CL,Cái,55,0,10.000,0
Bát gáo dừa đồng quê NT,Hàng Sơn Mài,SM/BGD/DQ/NT,Cái,53,0,50.000,0
Đũa gỗ trắc cao cấp gắn trai(10đôi/vỉ),Đũa,G/DUA/CCTRAI,Đôi,49,0,50.000,0
Gác đũa CL men kem,Hàng Gốm Sứ,T/GD/MK,Cái,48,0,30.000,0
Bát cơm hỏa biến sen,Hàng Gốm Sứ,HB/BC/SEN,Cái,48,0,70.000,0
ĐÔI ĐŨA SỨ,Đũa,T/DDUA/SU,Đôi,44,0,20.000,0
