Tên sản phẩm,Loại sản phẩm,Mã SKU,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Xịt chống nắng Re:cipe Crystal sun spray 180ml,"Các sản phẩm chăm sóc cơ thể, Mỹ phẩm, Thực phẩm chức năng Người lớn ( ÁP DỤNG THƯỞNG)",PVN15100,3,"118,000","199,000","118,000"
Bảng màu mắt Odbo real heart 12 ô - 04,"Các sản phẩm chăm sóc cơ thể, Mỹ phẩm, Thực phẩm chức năng Người lớn ( ÁP DỤNG THƯỞNG)",PVN15099,1,"82,000","139,000","82,000"
Bảng màu mắt Odbo real heart 12 ô - 02,"Các sản phẩm chăm sóc cơ thể, Mỹ phẩm, Thực phẩm chức năng Người lớn ( ÁP DỤNG THƯỞNG)",PVN15098,1,"82,000","139,000","82,000"
Bảng màu mắt Odbo real heart 12 ô - 03,"Các sản phẩm chăm sóc cơ thể, Mỹ phẩm, Thực phẩm chức năng Người lớn ( ÁP DỤNG THƯỞNG)",PVN15097,1,"82,000","139,000","82,000"
Kem Đánh Răng Crest 3D White Radiant Mint 93g,Đồ gia dụng,PVN15096,6,"119,000","169,000","119,000"
Cặp gội xả Batious 960 - Tím,"Các sản phẩm chăm sóc cơ thể, Mỹ phẩm, Thực phẩm chức năng Người lớn ( ÁP DỤNG THƯỞNG)",PVN15095,3,"340,000","499,000","340,000"
Giấm lựu Daesang 900ml,"Thực phẩm, đồ ăn, đồ uống cho gia đình",PVN15094,3,"141,000","225,000","141,000"
Kem dưỡng Olay Luminous - Ban đêm,"Các sản phẩm chăm sóc cơ thể, Mỹ phẩm, Thực phẩm chức năng Người lớn ( ÁP DỤNG THƯỞNG)",PVN15093,2,"137,000","225,000","137,000"
Bánh sữa chua dẻo vị đào,Bánh đài,PVN15092,3,"36,000","59,000","36,000"
Cốc sứ butterfly kèm thìa,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15091,5,"80,000","149,000","80,000"
Cốc sứ nơ ánh hologram,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15090,5,"58,000","109,000","58,000"
Cốc sứ có nắp gắn icon hoàng tử công chúa,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15089,5,"85,000","149,000","85,000"
Cốc sứ có nắp gắn bánh kem HPBD,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15088,4,"75,000","139,000","75,000"
Cốc sứ gắn charm thú cute 400ml kèm ống hút,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15087,5,"80,000","149,000","80,000"
Móc khóa ví hình thú Sanrio,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15086,9,"27,000","55,000","27,000"
Móc khóa Ocean cute,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15085,10,"24,000","49,000","24,000"
Móc khóa thú bông cài ảnh,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15084,9,"30,000","59,000","30,000"
Móc khóa bánh Donut 2 màu hồng/nâu,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15083,5,"28,000","59,000","28,000"
Móc khóa ví hoa quả,"Phụ Kiện, đồ lót, đồ dùng cá nhân",PVN15082,10,"17,000","39,000","17,000"
