Tên sản phẩm,Loại sản phẩm,Mã SKU,LC_CN1_Tồn kho ban đầu,LC_CN1_Giá vốn khởi tạo,PL_Giá bán lẻ,PL_Giá nhập
Nam châm tủ lạnh,Thủ công mỹ nghệ,KG03,611,0,10.000,7.000
Cao sao vàng 3g (HP),Cao,8934900020016,380,0,5.000,4.000
Thuốc lá bao Lotus Trầm (20 điếu vỏ vàng),"Xì Gà, Thuốc Lá",8936031838812,302,0,60.000,44.000
Bưu ảnh( Post ảnh),Thủ công mỹ nghệ,KG/ANH,237,0,10.000,7.000
Đũa gỗ khảm trai,Đũa,SM/DUA,220,0,8.000,6.000
Thuốc lá Trump Silver demi BCNĐ,"Xì Gà, Thuốc Lá",8936031837396,172,0,40.000,30.000
Xì gà Domica slim (30 điếu/hộp),"Xì Gà, Thuốc Lá",8936030311156,160,0,150.000,111.000
Nam châm tăm,Thủ công mỹ nghệ,KG02,148,0,10.000,7.000
Thìa men kem,Hàng Gốm Sứ,THDTH001,147,0,30.000,22.000
Xì gà Lotus Slim (Hộp giấy 30 điếu),"Xì Gà, Thuốc Lá",8936031838690,145,0,100.000,74.000
Đũa dừa khẩu,Đũa,DUA/D/K,140,0,6.000,4.000
Đũa thốt nốt,Đũa,DUA/TN,140,0,6.000,4.000
Bookmark ảnh,Thủ công mỹ nghệ,KG01/A,118,0,10.000,7.000
đĩa muối vuông vẽ CL,Hàng Gốm Sứ,T/DMV/CL,111,0,40.000,30.000
Đũa gỗ đầu ngọc,Đũa,DUA/G/DN,110,0,8.000,6.000
GỐM TREO DECO MINI,Hàng Gốm Sứ,T/GTDC/MN,95,0,30.000,22.000
Gác đũa HB,Hàng Gốm Sứ,HB/GD,94,0,30.000,22.000
Thìa vẽ các loại L1,Hàng Gốm Sứ,ATVE01,92,0,30.000,22.000
Thìa cf các loại,Hàng Gốm Sứ,ATCF01,90,0,20.000,15.000
Đĩa muối men kem cl,Hàng Gốm Sứ,T/DM/MK,86,0,30.000,22.000
Bookmark tre,Thủ công mỹ nghệ,KG01,83,0,10.000,7.000
Thìa cà phê vẽ CL N,Hàng Gốm Sứ,ATCF01N,77,0,20.000,15.000
Thuốc lá bao Lotus Xì Gà Supper Slim BCNĐ 20 điếu/bao,"Xì Gà, Thuốc Lá",8936031835736,76,0,50.000,37.000
Gác đũa các loại,Hàng Gốm Sứ,gdcl,70,0,30.000,22.000
Cốc sen HB,Hàng Gốm Sứ,HB/C/SEN,67,0,80.000,59.000
Gác đũa vẽ CL N,Hàng Gốm Sứ,AGD/01N,63,0,30.000,22.000
Bookmark to,Thủ công mỹ nghệ,KG01/L,62,0,15.000,11.000
Mũ lưỡi trai cờ đỏ sao vàng,"Nón, Nón treo",MLTCDSV,60,0,40.000,30.000
Cốc trụ chấm,Hàng Gốm Sứ,HB/C/T/VC,60,0,80.000,59.000
Bát gáo dừa gắn trai,Hàng Sơn Mài,SM/BGDT,56,0,60.000,44.000
THÌA CF CL,Hàng Gốm Sứ,THCF/CL,55,0,10.000,7.000
Bát gáo dừa đồng quê NT,Hàng Sơn Mài,SM/BGD/DQ/NT,53,0,50.000,37.000
Đũa gỗ trắc cao cấp gắn trai(10đôi/vỉ),Đũa,G/DUA/CCTRAI,49,0,50.000,37.000
