Tên sản phẩm;LC_CN1_Tồn kho ban đầu;LC_CN1_Giá vốn khởi tạo;PL_Giá bán lẻ;PL_Giá nhập
Momo rabit XL trai;5;0;279.000;0
Quà Mamogom- máy úp bình tiệt trùng và sấy khô Fino / 16 bịch;1;0;0;0
Nước giật đồ lót KOSE 200ml;4;0;139.000;93.000
Tẩy lông Veet dành cho da nhạy cảm;3;0;225.000;150.000
Dầu óc chó Thuyền Xưa;3;40.000;59.000;40.000
Bánh gạo ăn dặm hữu cơ Ildong các vị;9;60.000;95.000;60.000
Tất Nezumi các màu;87;0;29.000;16.000
Tất Uni cổ cao xám đen nhạt;29;8.000;25.000;8.000
Sữa tắm dưỡng ẩm hương nước hoa No.2;3;85.000;145.000;85.000
Táo đỏ kẹp hạt điều;0;0;75.000;45.000
Bánh quy khay vị sữa;5;35.000;59.000;35.000
Bánh quy khay vị rau củ;5;35.000;59.000;35.000
Bánh pizza tròn;8;12.000;24.000;12.000
Kẹo dẻo vị xoài;4;37.000;65.000;37.000
Kẹo dẻo vị việt quất;4;37.000;65.000;37.000
Kẹo dẻo vị sữa chua;3;37.000;65.000;37.000
Bánh mochi gói vị socola;3;47.000;79.000;47.000
Bánh mochi gói vị xoài;3;47.000;79.000;47.000
Thanh gạo lứt chà bông;10;36.000;59.000;36.000
Kem dưỡng ẩm phục hồi da Embryolisse Lait-Crème Concentre 75ml;3;182.000;445.000;300.000
Kem dưỡng ẩm phục hồi da Embryolisse Lait-Crème Concentre 30ml;2;300.000;285.000;182.000
Kem dưỡng ẩm Cerave 50ml dành cho da khô đến rất khô;3;138.000;215.000;138.000
Mặt nạ Carophy 3in1 giảm mụn, thâm và dưỡng da;20;17.000;32.000;17.000
Kem dưỡng ẩm Cerave 340ml dành cho da khô đến rất khô;2;320.000;485.000;320.000
Kẹo socola đen hạnh nhân lvan Nga 400g;3;173.000;249.000;173.000
Đồ chơi trực thăng biến hình CY803;7;36.562,5;85.000;40.625
Xe sắt 9949;22;27.374,4;65.000;30.416
Xe cẩu RJ6916;6;34.499,7;79.000;38.333
Xe mô hình cẩu móc họp kim 523-138;6;68.999,4;145.000;76.666
Xe mô hình cẩu múc hợp kim 523-137;6;57.899,7;119.000;64.333
Máy bay có sử dụng pin 777-46;5;45.749,7;95.000;50.833
Đồ chơi siêu nhân biến hình 168-96;1;166.500;325.000;185.000
Đồ chơi siêu nhân biến hình 339-52;1;126.000;245.000;140.000
Keo nước HT02 3499 40ml;12;3.900;10.000;3.900
Keo nước HT01 6676 30ml;11;3.200;8.000;3.200
Keo nước MIC;19;2.500;7.000;2.500
Keo nước CL GL07;12;3.500;9.000;3.500
Keo nước Deli A521;11;2.520;8.000;2.800
Bìa MiCa Trung TCT036;0;67.000;109.000;67.000
Bìa mica a4 dày TCT037;0;70.000;119.000;70.000
Bút chì gỗ 2B PC405 có tẩy;24;2.600;7.000;2.600
Keo nước GL05-SK;12;3.500;10.000;3.500
Giấy thủ công 12màu Thiên Long GTC-C006;10;14.800;35.000;18.500
Bút máy nét trơn Hồng Hà 2289;11;36.000;65.000;36.000
Khăn ướt bebegrow;2;28.000;49.000;28.000
Bình nước Bioamicus;2;0;120.000;0
Váy công chúa Pony;1;0;250.000;0
Vở ô ly 80 trang khám phá thiên nhiên;1;0;14.000;0
Vở ô ly Thiên Long mèo con năng động 48 trang;1;0;11.000;0
Bút gel Quick Dry 0.5 - Thiên Long GEL-040/KM - Mực Xanh;10;0;12.000;0
Bút gel xóa được TL GELE-06/XMAS mực xanh;6;0;15.000;0
